population,latitude,longitude,Elevation,MAT,MCMT,PPT_wt,PPT_sp,PPT_sm,PPT_at,Nitrogen,CN,pH,Phosphore,Calcium,Magnesium,Sodium,Potassium,Iron,Aluminium,WHC,OC,SOM,Manganese,leaf_Otu0000001,leaf_Otu0000002,leaf_Otu0000003,leaf_Otu0000004,leaf_Otu0000005,leaf_Otu0000006,leaf_Otu0000008,leaf_Otu0000009,leaf_Otu0000010,leaf_Otu0000011,leaf_Otu0000012,leaf_Otu0000013,leaf_Otu0000014,leaf_Otu0000015,leaf_Otu0000016,leaf_Otu0000017,leaf_Otu0000018,leaf_Otu0000022,leaf_Otu0000023,leaf_Otu0000025,leaf_Otu0000027,leaf_Otu0000028,leaf_Otu0000029,leaf_Otu0000030,leaf_Otu0000031,leaf_Otu0000032,leaf_Otu0000033,leaf_Otu0000034,leaf_Otu0000035,leaf_Otu0000036,leaf_Otu0000037,leaf_Otu0000038,leaf_Otu0000042,leaf_Otu0000044,leaf_Otu0000051,leaf_Otu0000052,leaf_Otu0000057,leaf_Otu0000058,leaf_Otu0000063,leaf_Otu0000066,leaf_Otu0000067,leaf_Otu0000068,leaf_Otu0000070,leaf_Otu0000073,leaf_Otu0000074,leaf_Otu0000077,leaf_Otu0000078,leaf_Otu0000084,leaf_Otu0000089,leaf_Otu0000093,leaf_Otu0000094,leaf_Otu0000096,leaf_Otu0000100,leaf_Otu0000101,leaf_Otu0000109,leaf_Otu0000115,leaf_Otu0000116,leaf_Otu0000117,leaf_Otu0000120,leaf_Otu0000137,leaf_Otu0000152,leaf_Otu0000157,leaf_Otu0000179,leaf_Otu0000246,leaf_Otu0000365,root_Otu0000001,root_Otu0000002,root_Otu0000003,root_Otu0000004,root_Otu0000005,root_Otu0000006,root_Otu0000007,root_Otu0000009,root_Otu0000011,root_Otu0000016,root_Otu0000017,root_Otu0000019,root_Otu0000020,root_Otu0000021,root_Otu0000024,root_Otu0000026,root_Otu0000028,root_Otu0000030,root_Otu0000041,root_Otu0000046,root_Otu0000049,root_Otu0000050,root_Otu0000051,root_Otu0000058,root_Otu0000063,root_Otu0000064,root_Otu0000070,root_Otu0000075,root_Otu0000076,root_Otu0000100,root_Otu0000102,root_Otu0000114,root_Otu0000121,root_Otu0000122,root_Otu0000144,root_Otu0000146,root_Otu0000156,root_Otu0000163,root_Otu0000174,root_Otu0000199,root_Otu0000238,root_Otu0000258,root_Otu0000284,root_Otu0000989,richness_microbiota_leaf,Shannon_microbiota_leaf,PCOA1_microbiota_leaf,PCOA2_microbiota_leaf,richness_pathobiota_leaf,Shannon_pathobiota_leaf,PCOA1_pathobiota_leaf,PCOA2_pathobiota_leaf,richness_microbiota_root,Shannon_microbiota_root,PCOA1_microbiota_root,PCOA2_microbiota_root,richness_pathobiota_root,Shannon_pathobiota_root,PCOA2_pathobiota_root,plant_OTU1,plant_OTU3,plant_OTU4,plant_OTU7,plant_OTU8,plant_OTU10,plant_OTU15,plant_OTU16,plant_OTU18,plant_OTU20,plant_OTU27,plant_OTU46,plant_OTU49,plant_OTU65,plant_OTU67,plant_OTU71,plant_OTU72,plant_OTU78,plant_OTU83,plant_OTU87,plant_OTU88,plant_OTU100,plant_OTU109,plant_OTU113,plant_OTU114,plant_OTU132,plant_OTU136,plant_OTU143,plant_OTU145,plant_OTU146,plant_OTU147,plant_OTU149,plant_OTU154,plant_OTU159,plant_OTU179,plant_OTU192,plant_OTU196,plant_OTU198,plant_OTU202,plant_OTU203,plant_OTU204,plant_OTU216,plant_OTU223,plant_OTU234,plant_richness,plant_Shannon,plant_pcoa1,plant_pcoa2,plant_pcoa3
MONTI-A,43.389383,0.672820,313,9.97,-0.25,123.91,74.27,88.64,183.73,1.640,10.540,8.300,0.090,17.700,0.649,0.034,0.621,0.003,0.013,0.473,17.350,29.950,0.000,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.19046016,2.170905138,0.2218549338,0.06805025459,2.49900673,0.5561872654,-0.05366310606,0.05826227401,10.47632143,2.037514573,0.1941321571,-0.01057713775,2.063354634,0.5539819543,0.2037986589,0,0,0,1,1,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,73,0,0,75,0,17,1,0,0,0,0,0,10,1.333115582,-0.1045,-0.1738,-0.05845
MONTI-B,43.383934,0.672570,313,9.97,-0.25,123.82,74.27,88.45,183.82,3.240,10.700,8.350,0.079,23.200,0.793,0.064,0.558,0.003,0.022,0.411,34.750,60.100,0.000,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,10.33316016,1.870205138,0.2693549338,0.06971025459,2.08868673,0.3494572654,0.1649668939,-0.158837726,10.46649143,2.084414573,0.2647321571,0.06033286225,1.759214634,0.3663419543,0.07518865892,0,0,0,0,0,0,0,1,0,0,5,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,1,39,0,14,0,0,0,0,11,1.659975582,-0.01055,-0.02045,0.06784
MONTI-D,43.383934,0.672570,313,9.97,-0.25,123.82,74.27,88.45,183.82,0.844,11.700,8.590,0.046,12.807,1.296,0.053,0.587,0.004,0.038,0.172,9.740,16.800,0.013,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,13.18186016,2.321105138,0.2912549338,0.1258402546,2.42158673,0.4963272654,0.03739689394,0.07106227401,8.988571429,1.885914573,0.2664321571,0.03792286225,2.071314634,0.3373419543,0.06527865892,0,0,0,1,0,0,0,2,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,72,1,0,0,57,0,0,7,1.205775582,-0.05465,-0.02871,0.1309
MONTM-A,42.861560,0.595943,792,8.67,-0.31,143.00,92.45,121.55,241.45,3.560,10.680,7.955,0.182,14.245,0.661,0.018,0.275,0.004,0.034,0.324,34.400,59.500,0.000,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10.66596016,1.812905138,-0.5203450662,0.06483025459,2.42558673,0.4993632654,0.09145089394,-0.08234772599,9.536671429,1.724214573,-0.5530678429,0.03154286225,1.959084634,0.4767549543,0.2276486589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,20,0,0,0,0,18,0,0,8,0,0,0,5,0.987875582,-0.1078,-0.0634,-0.2683
MONTM-B,42.861218,0.596869,774,8.71,-0.31,141.36,91.55,120.45,239.36,3.443,11.430,8.020,0.157,13.335,0.561,0.017,0.187,0.003,0.028,0.282,33.650,58.200,0.004,1,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,9.614860158,1.646805138,-0.5335450662,0.1004402546,3.77108673,0.6291572654,0.2209368939,-0.08639772599,9.995971429,1.916174573,-0.5409678429,-0.07377713775,1.954584634,0.4725389543,0.07920865892,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,0,0,0,0,22,0,0,0,0,0,4,0,28,0,0,0,0,0,1,0,0,0,18,0,0,0,8,0,0,13,1.771975582,-0.01374,0.06828,-0.2256
MOUL-A,44.089762,2.296094,428,9.75,-0.41,161.82,83.64,107.45,203.82,2.285,28.150,6.805,0.018,8.910,1.420,0.022,0.555,0.006,0.054,0.315,64.650,111.700,0.033,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.32400016,1.984705138,0.2957549338,0.05921025459,2.17298673,0.3324572654,0.1329068939,-0.01055772599,13.24107143,2.387814573,0.2585321571,-0.05093913775,.,.,.,14,0,0,0,0,0,0,0,2,0,1,0,34,36,0,0,0,0,5,0,1,0,0,0,0,0,0,0,2,0,0,15,15,0,0,0,0,4,81,0,0,0,0,0,15,1.757375582,0.03899,-0.1216,0.06125
NAUV-A,44.520751,2.427404,259,10.29,-0.04,173.64,90.09,126.09,228.91,2.670,11.650,8.135,0.134,16.550,1.515,0.014,0.714,0.003,0.017,0.320,30.950,53.550,0.000,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,.,.,.,.,.,.,.,.,11.12637143,2.173114573,0.1529121571,-0.03711713775,2.035604634,0.4552719543,0.06497865892,0,0,0,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0,0,4,0.828175582,-0.2369,0.09444,0.0101
NAUV-B,44.520418,2.427129,257,10.29,-0.01,173.55,90.09,125.91,228.82,1.225,10.900,8.250,0.066,12.850,1.345,0.023,0.751,0.006,0.036,0.382,13.300,23.000,0.000,1,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11.97536016,2.072445138,0.08634493384,0.04596025459,2.83488673,0.6279572654,0.1902368939,-0.140587726,9.942371429,2.063214573,0.1258421571,-0.09647713775,2.102714634,0.6371419543,-0.05114134108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1.350805582,0.03893,0.1061,-0.08116
NAUV-C,44.520397,2.427210,259,10.29,-0.03,173.45,90.09,125.91,228.82,11.400,11.600,7.680,0.628,36.100,7.180,0.387,2.370,0.004,0.000,0.369,131.000,227.000,0.021,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.27856016,2.181605138,0.1906949338,-0.004939745413,2.29638673,0.4664172654,0.1028868939,0.05026227401,10.66967143,1.880844573,0.1124421571,0.1140328623,2.006914634,0.5546919543,0.08082865892,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,4,0,0,0,5,0.943175582,-0.1625,0.16,0.1015
NAYR-A,44.161368,2.544711,631,9.12,-0.79,176.64,90.73,118.45,229.00,3.540,12.500,5.470,0.075,7.175,1.582,0.044,0.446,0.007,0.284,0.307,44.050,76.250,0.048,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9.650860158,1.924805138,0.1875149338,-0.05843974541,2.25438673,0.4150572654,-0.1123631061,-0.09745772599,10.52127143,2.124714573,0.1523321571,-0.1390171377,1.819214634,0.4040319543,0.2861586589,0,0,0,0,0,2,0,0,44,8,0,0,0,0,0,377,0,54,0,0,0,0,0,114,0,4,0,0,0,0,0,0,0,0,0,0,0,68,0,0,1,0,0,0,19,1.625075582,0.1056,0.08747,0.1052
NAZA-A,44.220329,1.064953,93,10.67,0.24,135.36,71.73,96.18,177.36,2.150,10.625,8.070,0.080,11.300,1.495,0.016,0.352,0.000,0.010,0.323,23.100,39.950,0.000,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,13.77546016,2.416805138,0.2516549338,-0.06013974541,2.32768673,0.4478672654,0.01017689394,-0.131077726,9.690571429,1.719514573,0.2770321571,-0.001857137747,1.698314634,0.3274419543,0.2852586589,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,170,0,0,0,0,248,0,9,1.044275582,-0.1709,0.078,0.02008
PAMP-A,44.124864,2.255514,317,10.19,-0.07,153.36,78.18,104.91,194.27,3.355,12.250,6.230,0.063,9.660,2.060,0.025,0.356,0.003,0.027,0.293,41.050,71.050,0.057,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.94076016,2.067705138,0.2770549338,0.01396025459,2.14918673,0.4497272654,0.1267968939,-0.02216772599,10.11937143,1.951834573,0.2372321571,-0.04673713775,.,.,.,0,0,0,0,22,0,0,0,0,41,0,0,3,0,0,11,0,0,0,0,0,0,0,0,0,95,0,0,0,12,0,0,0,0,0,0,0,23,0,0,0,0,0,0,17,1.964175582,-0.05478,0.151,-0.0909
PAMP-B,44.124876,2.255184,317,10.19,-0.07,153.27,78.18,104.91,194.00,2.600,12.300,8.210,0.059,16.600,1.310,0.045,0.875,0.000,0.000,0.310,32.100,55.500,0.000,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,11.37052016,2.128495138,0.3421549338,0.1656402546,2.53352673,0.4938372654,0.1949368939,-0.03341772599,10.60727143,2.131314573,0.3021321571,0.05323286225,1.993404634,0.4959719543,0.06496865892,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,7,0,0,13,2,0,0,10,1.616775582,-0.1971,0.154,-0.06014
PANA-C,44.078884,2.711136,767,8.77,-1.05,195.55,93.09,120.27,239.18,2.710,11.600,6.515,0.120,8.345,1.820,0.026,1.230,0.003,0.070,0.358,31.450,54.350,0.025,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,11.22296016,2.056595138,0.2009449338,-0.03315974541,2.81808673,0.5626072654,0.1505268939,-0.123827726,11.36997143,2.148914573,0.1976321571,-0.02696713775,1.966152634,0.4838019543,0.1891386589,0,0,0,0,0,0,0,0,1,1,0,65,0,0,0,14,0,3,0,0,1,0,0,142,0,0,0,0,0,0,0,3,0,3,0,0,1,20,33,0,0,0,0,0,20,1.351095582,0.1056,0.01633,0.1874
PASD-B,43.811758,2.871661,603,9.49,-0.74,214.36,80.64,82.91,265.09,1.180,12.100,7.380,0.015,8.120,1.190,0.061,0.444,0.000,0.000,0.297,14.300,24.700,0.011,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,9.247060158,1.666605138,-0.4048450662,0.03461025459,2.29558673,0.3505572654,0.02408689394,0.03764227401,8.565171429,1.495214573,-0.5493678429,-0.1881671377,1.827114634,0.4741159543,0.1846686589,1,5,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0,0,0,0,11,0,14,0,0,0,11,2,0,0,0,0,0,0,8,0,0,1,0,2,16,20,1.475645582,0.2094,0.1364,0.04542
PREI-A,43.717856,0.623298,120,10.57,0.18,127.73,69.73,86.91,175.09,2.535,16.800,8.250,0.041,16.150,0.916,0.019,0.344,0.003,0.018,0.334,42.650,73.800,0.000,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.985160158,1.006505138,-0.5216450662,0.2067402546,2.33578673,0.3751572654,0.06367689394,-0.004037725993,9.509771429,1.521214573,-0.2700678429,0.1866328623,1.768214634,0.3654419543,0.1973286589,0,0,0,0,0,0,0,14,0,0,0,0,1,0,7,11,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,44,1,0,12,1.622575582,-0.01402,0.002359,-0.02587
PUYM-B,43.372913,0.765694,278,10.13,-0.22,117.64,71.91,86.09,177.64,5.865,14.750,7.180,0.144,24.800,0.991,0.073,0.426,0.009,0.047,0.246,85.150,147.000,0.000,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,11.38193016,2.103605138,0.2447549338,0.02174025459,3.03598673,0.6212572654,0.1660068939,-0.07473772599,7.895071429,1.401314573,0.1838321571,-0.07987713775,2.098314634,0.3880219543,0.2900586589,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
RADE-A,44.345163,2.620821,622,9.12,-0.86,166.91,88.27,126.18,229.55,3.655,10.100,7.730,0.118,15.850,2.715,0.024,0.887,0.003,0.019,0.514,36.850,63.800,0.003,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12.33316016,2.215905138,0.1996449338,0.06256025459,.,.,.,.,10.22077143,2.156414573,0.1470321571,-0.06420713775,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,70,0,7,11,0,0,0,25,2,13,6,0,35,0,0,0,0,0,3,0,0,0,20,0,0,0,0,0,11,21,2.044975582,0.2115,0.139,-0.1588
RAYR-A,44.196005,2.493157,555,9.36,-0.68,176.00,93.00,117.91,223.55,4.320,9.925,8.025,0.224,16.600,0.830,0.030,0.396,0.000,0.023,0.330,42.900,74.250,0.000,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,11.80126016,2.068585138,0.1664849338,-0.05302974541,3.01058673,0.6617572654,0.1248768939,-0.146957726,9.725371429,1.907754573,0.1274021571,-0.1319571377,1.900804634,0.4529419543,0.1117686589,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,2,3,0,11,182,0,159,0,2,0,0,0,0,12,1.227275582,-0.04967,-0.3068,0.02027
RAYR-B,44.196006,2.493076,555,9.36,-0.68,176.00,93.00,117.91,223.55,2.380,13.950,6.595,0.215,9.965,1.355,0.029,1.285,0.000,0.016,0.479,33.250,57.550,0.019,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.25176016,2.393005138,0.2231549338,-0.01389974541,2.40378673,0.5617772654,0.1678868939,0.002812274007,9.996671429,1.886344573,0.1395821571,-0.1206071377,1.898364634,0.4359419543,0.06194865892,0,0,0,0,0,0,0,0,0,0,0,7,1,0,0,0,0,5,0,21,0,0,0,0,0,0,0,0,0,0,0,0,6,0,39,0,0,39,0,8,0,0,0,0,10,1.519075582,-0.137,-0.1891,-0.00239
REAL-A,43.831650,2.201550,239,10.45,0.01,139.91,75.55,89.36,178.82,1.965,12.550,7.585,0.028,12.300,3.195,0.021,1.045,0.004,0.042,0.389,24.650,42.700,0.023,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,10.64676016,1.808905138,0.1508549338,0.07026025459,2.46248673,0.5170472654,-0.01836310606,-0.07485772599,12.81587143,2.216114573,0.008862157095,-0.04005713775,1.874064634,0.3734219543,-0.06644134108,6,0,0,0,0,25,3,0,0,0,0,3,0,10,5,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,0,46,0,0,23,2.058075582,0.1643,0.08717,0.1511
ROME-A,44.041553,2.909576,446,10.28,-0.05,167.73,70.27,94.36,210.82,1.230,23.150,7.800,0.070,34.550,0.638,0.033,0.453,0.004,0.016,0.261,28.200,48.850,0.000,1,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,10.80486016,2.039188138,0.2300549338,0.06376025459,3.20938673,0.6570572654,0.02928689394,-0.03206772599,9.800071429,2.008964573,0.1507921571,-0.07710713775,2.050864634,0.6193419543,0.08802865892,2,0,0,0,2,0,0,0,0,0,13,0,0,1,1,0,0,0,6,0,1,0,3,0,0,36,0,1,0,0,0,0,2,0,0,0,0,24,0,0,0,0,0,0,17,1.870675582,0.08361,0.02003,-0.1869
ROQU-B,43.667907,2.290214,261,10.38,-0.11,143.27,83.55,91.27,184.82,2.570,11.100,7.790,0.077,12.900,2.180,0.028,0.851,0.012,0.066,0.448,28.500,49.300,0.000,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,9.960760158,1.810105138,0.2763549338,-0.0008397454129,2.22458673,0.4034072654,-0.04006310606,-0.132947726,9.376571429,1.919054573,0.2546321571,-0.01540713775,1.865374634,0.4111019543,0.1972986589,6,2,0,0,0,0,0,0,0,0,0,0,0,2,2,21,170,0,0,0,0,0,0,13,0,0,0,0,23,19,2,20,0,0,0,0,0,40,0,0,4,0,15,0,23,1.960475582,0.2363,0.1092,0.1172
